Query,Persona,Intent,Complexity,Entities,Route,Notes
affordable small colleges in the Midwest with strong engineering programs,highschool student,multi_constraint,complex,"affordable, small, Midwest, engineering",college_search,college search
schools in urban areas with strong pre-law and low tuition,highschool student,multi_constraint,complex,"urban, pre-law, low tuition, school",college_search,college search
universities under 5000 students with Division II sports and strong biology,highschool student,multi_constraint,complex,"small, Division II, biology, university",college_search,college search
colleges near the ocean with marine science programs and merit aid,highschool student,multi_constraint,complex,"ocean, marine science, merit aid, college",college_search,college search
HBCUs in the South with MBA programs and strong alumni networks,highschool student,multi_constraint,complex,"HBCU, South, MBA, alumni network",college_search,college search
women's colleges with strong STEM programs and study abroad,highschool student,multi_constraint,complex,"women's college, STEM, study abroad",college_search,college search
liberal arts colleges with good job placement and low debt outcomes,highschool student,multi_constraint,complex,"liberal arts, job placement, low debt",college_search,college search
public universities with honors programs and strong med school prep,highschool student,multi_constraint,complex,"public, honors, pre-med, university",college_search,college search
colleges in the Pacific Northwest with environmental programs and outdoor culture,highschool student,multi_constraint,complex,"Pacific Northwest, environmental, outdoor, college",college_search,college search
schools with cooperative education programs and top accounting majors,highschool student,multi_constraint,complex,"co-op, accounting, school",college_search,college search
universities with strong co-op engineering programs,highschool student,filtered_search,complex,"co-op, engineering, university",college_search,college search
schools in the Southeast with strong hospitality programs,highschool student,multi_constraint,complex,"Southeast, hospitality, school",college_search,college search
colleges with strong pre-dental tracks and research labs,highschool student,multi_constraint,complex,"pre-dental, research, college",college_search,college search
universities with strong sports analytics programs in the South,highschool student,multi_constraint,complex,"sports analytics, South, university",college_search,college search
schools under $30k per year with strong business programs,highschool student,multi_constraint,complex,"affordable, business, school",college_search,college search
colleges with strong pre-veterinary programs near farms or wildlife,highschool student,multi_constraint,complex,"pre-vet, wildlife, rural, college",college_search,college search
universities in the Northeast with both strong arts and sciences,highschool student,multi_constraint,complex,"arts, sciences, Northeast, university",college_search,college search
schools with strong social work programs in urban settings,highschool student,multi_constraint,complex,"social work, urban, school",college_search,college search
colleges with top computer science programs and small class sizes,highschool student,multi_constraint,complex,"computer science, small class, college",college_search,college search
universities with strong fine arts and career placement,highschool student,multi_constraint,complex,"fine arts, career placement, university",college_search,college search
how do I know if college is right for me,highschool student,emotional_advisory,llm_needed,"college decision, right fit, personal",college_search,admissions
how do I choose between two great college offers,highschool student,emotional_advisory,llm_needed,"college decision, choosing, offers",college_search,admissions
how to set boundaries with family about college choices,highschool student,emotional_advisory,llm_needed,"family, boundaries, college choice",college_search,admissions
what GPA do I need to get into an Ivy League school,highschool student,attribute_lookup,medium,"GPA, Ivy League, admission",college_search,admissions
how important are extracurriculars for college admission,highschool student,emotional_advisory,llm_needed,"extracurriculars, college admission, importance",college_search,admissions
do colleges look at freshman year grades,highschool student,attribute_lookup,medium,"freshman year, grades, college admission",academic_policy_info,admissions
how to write a strong college application essay,highschool student,emotional_advisory,llm_needed,"college essay, application, writing tips",college_search,admissions
what is the Common App and how does it work,highschool student,attribute_lookup,medium,"Common App, application, college",academic_policy_info,admissions
how does early decision work for college applications,highschool student,attribute_lookup,medium,"early decision, college application",academic_policy_info,admissions
colleges with test-optional admissions policies,highschool student,attribute_lookup,medium,"test-optional, admission, college",academic_policy_info,admissions
best colleges for students with learning disabilities,highschool student,filtered_search,complex,"learning disabilities, college, support",college_search,student support
how to visit colleges on a budget,highschool student,emotional_advisory,llm_needed,"college visit, budget, tips",college_search,admissions
do I need a counselor to apply to college,highschool student,attribute_lookup,medium,"counselor, college application, process",college_search,admissions
what standardized tests are required for college admission,highschool student,attribute_lookup,medium,"standardized tests, SAT, ACT, admission",academic_policy_info,admissions
how to get letters of recommendation for college,highschool student,emotional_advisory,llm_needed,"letters of recommendation, college application",college_search,admissions
how many colleges should I apply to,highschool student,emotional_advisory,llm_needed,"college list, how many, applications",college_search,admissions
what is a reach safety and match college,highschool student,attribute_lookup,medium,"reach, safety, match, college list",college_search,admissions
can I apply to college if I was homeschooled,highschool student,attribute_lookup,medium,"homeschool, college application",academic_policy_info,admissions
how does the waitlist process work for college,highschool student,attribute_lookup,medium,"waitlist, college, process",academic_policy_info,admissions
what is demonstrated interest and does it matter,highschool student,attribute_lookup,medium,"demonstrated interest, college admission",academic_policy_info,admissions
do colleges consider race in admissions decisions,highschool student,attribute_lookup,medium,"race, admissions, diversity policy",academic_policy_info,admissions
how early should I start preparing college applications,highschool student,emotional_advisory,llm_needed,"college application, timeline, preparation",college_search,admissions
is it harder to get into college as an out-of-state student,highschool student,attribute_lookup,medium,"out-of-state, admission, college",academic_policy_info,admissions
best colleges for computer science internships with strong advising in California,college student,filtered_search,medium,"computer science internships, strong advising, evening classes, college",college_search,program discovery
which schools offer affordable tuition and allow transfer scholarships,college student,attribute_lookup,medium,"affordable tuition, small class sizes, transfer scholarships, college",financial_aid_advising,attribute lookup
help me compare colleges for transfer friendly policies based on good transit access and paid internships,college student,multi_constraint,complex,"transfer friendly policies, good transit access, paid internships, college",transfer_advising,multi factor comparison
"I am a college student stressed about study abroad options, what options should I consider next",college student,emotional_advisory,llm_needed,"study abroad options, flexible scheduling, no SAT requirement, college",study_abroad_advising,student advisory
colleges with on-campus housing opportunities plus strong high graduation rates,college student,attribute_lookup,short_circuit,"on-campus housing, high graduation rates, on-campus childcare, college",housing_advising,quick lookup
schools that support part-time jobs on campus students and have credit for AP classes,college student,filtered_search,medium,"part-time jobs on campus, active student organizations, credit for AP classes, college",academic_advising,student support search
best colleges for mental health counseling with hands-on learning in California,college student,filtered_search,medium,"mental health counseling, hands-on learning, generous aid packages, college",college_search,program discovery
which schools offer data science programs and allow early application deadlines,college student,attribute_lookup,medium,"data science programs, low student debt, early application deadlines, college",academic_program_info,attribute lookup
help me compare colleges for nursing prerequisites based on robust internships and online course options,college student,multi_constraint,complex,"nursing prerequisites, robust internships, online course options, college",academic_policy_info,multi factor comparison
"I am a college student stressed about co-op opportunities, what options should I consider next",college student,emotional_advisory,llm_needed,"co-op opportunities, inclusive campus culture, accessible housing, college",academic_advising,student advisory
colleges with first-generation support opportunities plus strong strong advising,college student,attribute_lookup,short_circuit,"first-generation support, strong advising, evening classes, college",campus_services_info,quick lookup
schools that support scholarship renewal rules students and have transfer scholarships,college student,filtered_search,medium,"scholarship renewal rules, small class sizes, transfer scholarships, college",financial_aid_advising,student support search
best colleges for career center outcomes with good transit access in California,college student,filtered_search,medium,"career center outcomes, good transit access, paid internships, college",college_search,program discovery
which schools offer research opportunities and allow no SAT requirement,college student,attribute_lookup,medium,"research opportunities, flexible scheduling, no SAT requirement, college",academic_program_info,attribute lookup
help me compare colleges for flexible class schedules based on high graduation rates and on-campus childcare,college student,multi_constraint,complex,"flexible class schedules, high graduation rates, on-campus childcare, college",college_search,multi factor comparison
"I am a college student stressed about commuter student services, what options should I consider next",college student,emotional_advisory,llm_needed,"commuter student services, active student organizations, credit for AP classes, college",academic_advising,student advisory
colleges with disability accommodations opportunities plus strong hands-on learning,college student,attribute_lookup,short_circuit,"disability accommodations, hands-on learning, generous aid packages, college",campus_services_info,quick lookup
schools that support library 24-hour access students and have early application deadlines,college student,filtered_search,medium,"library 24-hour access, low student debt, early application deadlines, college",academic_advising,student support search
best colleges for entrepreneurship resources with robust internships in California,college student,filtered_search,medium,"entrepreneurship resources, robust internships, online course options, college",college_search,program discovery
which schools offer honors program fit and allow accessible housing,college student,attribute_lookup,medium,"honors program fit, inclusive campus culture, accessible housing, college",academic_program_info,attribute lookup
help me compare colleges for computer science internships based on strong advising and evening classes,college student,multi_constraint,complex,"computer science internships, strong advising, evening classes, college",college_search,multi factor comparison
"I am a college student stressed about affordable tuition, what options should I consider next",college student,emotional_advisory,llm_needed,"affordable tuition, small class sizes, transfer scholarships, college",financial_aid_advising,student advisory
colleges with transfer friendly policies opportunities plus strong good transit access,college student,attribute_lookup,short_circuit,"transfer friendly policies, good transit access, paid internships, college",transfer_advising,quick lookup
schools that support study abroad options students and have no SAT requirement,college student,filtered_search,medium,"study abroad options, flexible scheduling, no SAT requirement, college",study_abroad_advising,student support search
best colleges for on-campus housing with high graduation rates in California,college student,filtered_search,medium,"on-campus housing, high graduation rates, on-campus childcare, college",housing_advising,program discovery
which schools offer part-time jobs on campus and allow credit for AP classes,college student,attribute_lookup,medium,"part-time jobs on campus, active student organizations, credit for AP classes, college",academic_program_info,attribute lookup
help me compare colleges for mental health counseling based on hands-on learning and generous aid packages,college student,multi_constraint,complex,"mental health counseling, hands-on learning, generous aid packages, college",college_search,multi factor comparison
"I am a college student stressed about data science programs, what options should I consider next",college student,emotional_advisory,llm_needed,"data science programs, low student debt, early application deadlines, college",academic_program_info,student advisory
colleges with nursing prerequisites opportunities plus strong robust internships,college student,attribute_lookup,short_circuit,"nursing prerequisites, robust internships, online course options, college",academic_policy_info,quick lookup
schools that support co-op opportunities students and have accessible housing,college student,filtered_search,medium,"co-op opportunities, inclusive campus culture, accessible housing, college",academic_advising,student support search
best colleges for first-generation support with strong advising in California,college student,filtered_search,medium,"first-generation support, strong advising, evening classes, college",college_search,program discovery
which schools offer scholarship renewal rules and allow transfer scholarships,college student,attribute_lookup,medium,"scholarship renewal rules, small class sizes, transfer scholarships, college",financial_aid_advising,attribute lookup
help me compare colleges for career center outcomes based on good transit access and paid internships,college student,multi_constraint,complex,"career center outcomes, good transit access, paid internships, college",college_search,multi factor comparison
"I am a college student stressed about research opportunities, what options should I consider next",college student,emotional_advisory,llm_needed,"research opportunities, flexible scheduling, no SAT requirement, college",academic_advising,student advisory
colleges with flexible class schedules opportunities plus strong high graduation rates,college student,attribute_lookup,short_circuit,"flexible class schedules, high graduation rates, on-campus childcare, college",campus_services_info,quick lookup
schools that support commuter student services students and have credit for AP classes,college student,filtered_search,medium,"commuter student services, active student organizations, credit for AP classes, college",academic_advising,student support search
best colleges for disability accommodations with hands-on learning in California,college student,filtered_search,medium,"disability accommodations, hands-on learning, generous aid packages, college",college_search,program discovery
which schools offer library 24-hour access and allow early application deadlines,college student,attribute_lookup,medium,"library 24-hour access, low student debt, early application deadlines, college",academic_program_info,attribute lookup
help me compare colleges for entrepreneurship resources based on robust internships and online course options,college student,multi_constraint,complex,"entrepreneurship resources, robust internships, online course options, college",college_search,multi factor comparison
"I am a college student stressed about honors program fit, what options should I consider next",college student,emotional_advisory,llm_needed,"honors program fit, inclusive campus culture, accessible housing, college",academic_program_info,student advisory
colleges with computer science internships opportunities plus strong strong advising,college student,attribute_lookup,short_circuit,"computer science internships, strong advising, evening classes, college",campus_services_info,quick lookup
schools that support affordable tuition students and have transfer scholarships,college student,filtered_search,medium,"affordable tuition, small class sizes, transfer scholarships, college",financial_aid_advising,student support search
best colleges for transfer friendly policies with good transit access in California,college student,filtered_search,medium,"transfer friendly policies, good transit access, paid internships, college",transfer_advising,program discovery
which schools offer study abroad options and allow no SAT requirement,college student,attribute_lookup,medium,"study abroad options, flexible scheduling, no SAT requirement, college",study_abroad_advising,attribute lookup
help me compare colleges for on-campus housing based on high graduation rates and on-campus childcare,college student,multi_constraint,complex,"on-campus housing, high graduation rates, on-campus childcare, college",housing_advising,multi factor comparison
"I am a college student stressed about part-time jobs on campus, what options should I consider next",college student,emotional_advisory,llm_needed,"part-time jobs on campus, active student organizations, credit for AP classes, college",academic_advising,student advisory
colleges with mental health counseling opportunities plus strong hands-on learning,college student,attribute_lookup,short_circuit,"mental health counseling, hands-on learning, generous aid packages, college",campus_services_info,quick lookup
schools that support data science programs students and have early application deadlines,college student,filtered_search,medium,"data science programs, low student debt, early application deadlines, college",academic_program_info,student support search
best colleges for nursing prerequisites with robust internships in California,college student,filtered_search,medium,"nursing prerequisites, robust internships, online course options, college",academic_policy_info,program discovery
which schools offer co-op opportunities and allow accessible housing,college student,attribute_lookup,medium,"co-op opportunities, inclusive campus culture, accessible housing, college",academic_program_info,attribute lookup
help me compare colleges for first-generation support based on strong advising and evening classes,college student,multi_constraint,complex,"first-generation support, strong advising, evening classes, college",college_search,multi factor comparison
"I am a college student stressed about scholarship renewal rules, what options should I consider next",college student,emotional_advisory,llm_needed,"scholarship renewal rules, small class sizes, transfer scholarships, college",financial_aid_advising,student advisory
colleges with career center outcomes opportunities plus strong good transit access,college student,attribute_lookup,short_circuit,"career center outcomes, good transit access, paid internships, college",campus_services_info,quick lookup
schools that support research opportunities students and have no SAT requirement,college student,filtered_search,medium,"research opportunities, flexible scheduling, no SAT requirement, college",academic_advising,student support search
best colleges for flexible class schedules with high graduation rates in California,college student,filtered_search,medium,"flexible class schedules, high graduation rates, on-campus childcare, college",college_search,program discovery
which schools offer commuter student services and allow credit for AP classes,college student,attribute_lookup,medium,"commuter student services, active student organizations, credit for AP classes, college",academic_program_info,attribute lookup
help me compare colleges for disability accommodations based on hands-on learning and generous aid packages,college student,multi_constraint,complex,"disability accommodations, hands-on learning, generous aid packages, college",college_search,multi factor comparison
"I am a college student stressed about library 24-hour access, what options should I consider next",college student,emotional_advisory,llm_needed,"library 24-hour access, low student debt, early application deadlines, college",academic_advising,student advisory
colleges with entrepreneurship resources opportunities plus strong robust internships,college student,attribute_lookup,short_circuit,"entrepreneurship resources, robust internships, online course options, college",campus_services_info,quick lookup
schools that support honors program fit students and have accessible housing,college student,filtered_search,medium,"honors program fit, inclusive campus culture, accessible housing, college",academic_program_info,student support search
universities offering creative writing MFA programs,college student,attribute_lookup,medium,"creative writing, MFA, university",academic_program_info,program lookup
universities with health informatics programs,college student,attribute_lookup,medium,"health informatics, programs, university",academic_program_info,program lookup
schools with late night dining options,college student,attribute_lookup,short_circuit,"late night, dining, campus, school",campus_services_info,campus perks
schools with 3D printing labs open to all students,college student,attribute_lookup,short_circuit,"3D printing, lab, campus, school",campus_services_info,campus perks
universities with student tech loan programs,college student,attribute_lookup,short_circuit,"tech loan, laptop, campus, university",campus_services_info,campus perks
colleges with on-campus childcare or nursery,college student,attribute_lookup,medium,"childcare, nursery, on-campus, college",campus_services_info,campus perks
colleges with work-study programs abroad,college student,filtered_search,medium,"work-study, abroad, college",financial_aid_advising,financial aid
schools offering emergency financial aid funds,college student,attribute_lookup,medium,"emergency, financial aid, school",financial_aid_advising,student support
colleges with employer tuition reimbursement partnerships,college student,attribute_lookup,medium,"employer, tuition reimbursement, college",financial_aid_advising,financial aid
universities that offer income share agreements,college student,attribute_lookup,medium,"income share agreement, ISA, university",financial_aid_advising,financial aid
universities with co-op programs that pay during work terms,college student,attribute_lookup,medium,"co-op, paid, work terms, university",financial_aid_advising,financial aid
colleges with military veteran tuition benefits,college student,attribute_lookup,medium,"military, veteran, tuition benefits, college",financial_aid_advising,financial aid
how to maintain financial aid eligibility in college,college student,attribute_lookup,medium,"financial aid, eligibility, maintain, college",financial_aid_advising,financial aid
universities with semester programs in Japan,college student,attribute_lookup,medium,"semester abroad, Japan, university",study_abroad_advising,study abroad
colleges with study abroad programs in South America,college student,attribute_lookup,medium,"study abroad, South America, college",study_abroad_advising,study abroad
schools with language immersion programs in France,college student,attribute_lookup,medium,"language immersion, France, school",study_abroad_advising,study abroad
universities offering research opportunities abroad,college student,attribute_lookup,medium,"research, abroad, university",study_abroad_advising,research focus
colleges with affordable study abroad programs,college student,filtered_search,medium,"affordable, study abroad, college",study_abroad_advising,study abroad
schools with internship programs in London,college student,attribute_lookup,medium,"internship, London, school",study_abroad_advising,study abroad
universities with semester at sea programs,college student,attribute_lookup,medium,"semester at sea, university",study_abroad_advising,study abroad
colleges with exchange programs in Australia,college student,attribute_lookup,medium,"exchange program, Australia, college",study_abroad_advising,study abroad
schools with international co-op programs,college student,attribute_lookup,medium,"international, co-op, school",study_abroad_advising,study abroad
universities with programs in non-English speaking countries,college student,filtered_search,medium,"non-English, programs abroad, university",study_abroad_advising,study abroad
colleges with fully funded study abroad grants,college student,filtered_search,complex,"fully funded, study abroad, grant, college",study_abroad_advising,study abroad
universities with programs in sub-Saharan Africa,college student,attribute_lookup,medium,"sub-Saharan Africa, programs, university",study_abroad_advising,study abroad
schools with Mandarin language study abroad programs,college student,attribute_lookup,medium,"Mandarin, language, study abroad, school",study_abroad_advising,study abroad
colleges with service learning abroad programs,college student,attribute_lookup,medium,"service learning, abroad, college",study_abroad_advising,study abroad
universities that offer summer programs in Italy,college student,attribute_lookup,medium,"summer program, Italy, university",study_abroad_advising,study abroad
schools with programs for studying Middle Eastern cultures,college student,attribute_lookup,medium,"Middle Eastern, cultures, study abroad, school",study_abroad_advising,study abroad
universities with study abroad for STEM majors,college student,filtered_search,medium,"STEM, study abroad, university",study_abroad_advising,study abroad
universities with off-campus housing assistance,college student,attribute_lookup,medium,"off-campus, housing, university",housing_advising,campus support
schools with apartments for upperclassmen,college student,attribute_lookup,medium,"apartments, upperclassmen, school",housing_advising,campus perks
colleges with married student housing,college student,attribute_lookup,medium,"married, student housing, college",housing_advising,campus perks
transfer requirements for UC schools from community college,college student,attribute_lookup,complex,"transfer, UC, community college",transfer_advising,transfer info
best colleges for community college transfers,college student,filtered_search,complex,"community college, transfer, college",transfer_advising,transfer info
universities that accept most transfer credits,college student,attribute_lookup,medium,"transfer credits, university",transfer_advising,transfer info
schools with transfer student scholarships,college student,attribute_lookup,medium,"transfer, scholarship, school",transfer_advising,financial aid
colleges with guaranteed transfer admission agreements,college student,attribute_lookup,medium,"guaranteed, transfer, admission, college",transfer_advising,transfer info
universities with strong transfer support programs,college student,attribute_lookup,medium,"transfer support, university",transfer_advising,student support
schools with articulation agreements for nursing transfers,college student,attribute_lookup,complex,"articulation, nursing, transfer, school",transfer_advising,transfer info
colleges that accept community college associate degrees,college student,attribute_lookup,medium,"associates degree, community college, transfer",transfer_advising,transfer info
universities with high transfer student acceptance rates,college student,attribute_lookup,medium,"transfer, acceptance rate, university",transfer_advising,transfer info
schools with transfer orientation programs,college student,attribute_lookup,medium,"transfer, orientation, school",transfer_advising,student support
how to choose a double major in college,college student,emotional_advisory,llm_needed,"double major, college",academic_advising,academic advice
tips for managing coursework and internships at the same time,college student,emotional_advisory,llm_needed,"coursework, internships, time management",academic_advising,academic advice
how to talk to a professor about a bad grade,college student,emotional_advisory,llm_needed,"professor, grade, communication",academic_advising,academic advice
what to do if you want to change your major junior year,college student,emotional_advisory,llm_needed,"change major, junior year, college",academic_advising,academic advice
how to prepare for graduate school applications,college student,emotional_advisory,llm_needed,"graduate school, applications, preparation",academic_advising,academic advice
how to get research experience as an undergrad,college student,attribute_lookup,medium,"research, undergrad, experience",academic_advising,research focus
best ways to use office hours as a college student,college student,emotional_advisory,llm_needed,"office hours, professor, college",academic_advising,academic advice
how to build a study schedule in college,college student,emotional_advisory,llm_needed,"study schedule, college, productivity",academic_advising,academic advice
how to pick the right electives in college,college student,emotional_advisory,llm_needed,"electives, college, course selection",academic_advising,academic advice
can I take grad-level classes as an undergrad,college student,attribute_lookup,medium,"grad-level, undergrad, courses",academic_advising,academic policy
schools with space science research opportunities,college student,attribute_lookup,medium,"space science, research, school",academic_program_info,research focus
universities with social science research initiatives,college student,attribute_lookup,medium,"social science, research, university",academic_program_info,research focus
schools with tutoring centers for STEM students,college student,attribute_lookup,medium,"tutoring, STEM, school",campus_services_info,student support
universities with food pantries for students,college student,attribute_lookup,medium,"food pantry, students, university",campus_services_info,student support
schools with veteran student services,college student,attribute_lookup,medium,"veteran, student services, school",campus_services_info,student support
universities with childcare services for student parents,college student,attribute_lookup,medium,"childcare, student parents, university",campus_services_info,student support
universities with writing centers for all students,college student,attribute_lookup,medium,"writing center, students, university",campus_services_info,student support
universities with pass/fail grading options,college student,attribute_lookup,medium,"pass/fail, grading, university",academic_policy_info,academic policy
colleges with flexible credit transfer policies,college student,attribute_lookup,medium,"credit transfer, flexible, college",academic_policy_info,academic policy
schools with late withdrawal policies that protect GPA,college student,attribute_lookup,medium,"late withdrawal, GPA, policy, school",academic_policy_info,academic policy
feeling overwhelmed in college what should I do,college student,emotional_advisory,llm_needed,"overwhelmed, college, mental health",academic_advising,student support
how to make friends when you're introverted in college,college student,emotional_advisory,llm_needed,"introverted, friends, college social life",academic_advising,campus culture
I'm failing a class what are my options,college student,emotional_advisory,llm_needed,"failing, class, options, college",academic_advising,academic advice
how to deal with homesickness in college,college student,emotional_advisory,llm_needed,"homesickness, college, adjustment",academic_advising,student support
tips for staying motivated during a difficult semester,college student,emotional_advisory,llm_needed,"motivation, difficult semester, college",academic_advising,academic advice
how to balance social life and academics in college,college student,emotional_advisory,llm_needed,"social life, academics, balance, college",academic_advising,academic advice
should I take a leave of absence from college,college student,emotional_advisory,llm_needed,"leave of absence, college, decision",academic_advising,academic advice
how to network as a college student with no experience,college student,emotional_advisory,llm_needed,"networking, no experience, college student",academic_advising,outcomes
feeling like I chose the wrong major what should I do,college student,emotional_advisory,llm_needed,"wrong major, feelings, college",academic_advising,academic advice
how to handle academic probation in college,college student,emotional_advisory,llm_needed,"academic probation, college, recovery",academic_advising,academic advice
how to manage test anxiety in college,college student,emotional_advisory,llm_needed,"test anxiety, management, college",academic_advising,student support
what should I do if I hate my college roommate,college student,emotional_advisory,llm_needed,"roommate conflict, college, resolution",housing_advising,student support
how to cope with imposter syndrome in college,college student,emotional_advisory,llm_needed,"imposter syndrome, college, confidence",academic_advising,student support
what to do when you feel lost in your major,college student,emotional_advisory,llm_needed,"lost, major, direction, college",academic_advising,academic advice
how to get back on track after a bad semester,college student,emotional_advisory,llm_needed,"bad semester, recovery, academic advice",academic_advising,academic advice
college feels overwhelming and I want to quit,college student,emotional_advisory,llm_needed,"overwhelmed, quit, college, burnout",academic_advising,student support
how to find community and belonging at a large university,college student,emotional_advisory,llm_needed,"community, belonging, large university",academic_advising,campus culture
best colleges for overall college affordability with strong advising in California,parent,filtered_search,medium,"overall college affordability, strong advising, evening classes, college",financial_aid_advising,program discovery
which schools offer campus safety programs and allow transfer scholarships,parent,attribute_lookup,medium,"campus safety programs, small class sizes, transfer scholarships, college",academic_program_info,attribute lookup
help me compare colleges for graduation outcomes based on good transit access and paid internships,parent,multi_constraint,complex,"graduation outcomes, good transit access, paid internships, college",college_search,multi factor comparison
"as a parent, I am concerned about financial aid transparency and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"financial aid transparency, flexible scheduling, no SAT requirement, college",financial_aid_advising,family advisory
colleges with mental health services opportunities plus strong high graduation rates,parent,attribute_lookup,short_circuit,"mental health services, high graduation rates, on-campus childcare, college",campus_services_info,quick lookup
schools that support academic advising quality students and have credit for AP classes,parent,filtered_search,medium,"academic advising quality, active student organizations, credit for AP classes, college",academic_advising,student support search
best colleges for housing security with hands-on learning in California,parent,filtered_search,medium,"housing security, hands-on learning, generous aid packages, college",housing_advising,program discovery
which schools offer internship placement support and allow early application deadlines,parent,attribute_lookup,medium,"internship placement support, low student debt, early application deadlines, college",academic_program_info,attribute lookup
help me compare colleges for class size and faculty access based on robust internships and online course options,parent,multi_constraint,complex,"class size and faculty access, robust internships, online course options, college",college_search,multi factor comparison
"as a parent, I am concerned about communication with families and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"communication with families, inclusive campus culture, accessible housing, college",academic_advising,family advisory
colleges with support for struggling students opportunities plus strong strong advising,parent,attribute_lookup,short_circuit,"support for struggling students, strong advising, evening classes, college",campus_services_info,quick lookup
schools that support health services access students and have transfer scholarships,parent,filtered_search,medium,"health services access, small class sizes, transfer scholarships, college",academic_advising,student support search
best colleges for transfer credit clarity with good transit access in California,parent,filtered_search,medium,"transfer credit clarity, good transit access, paid internships, college",transfer_advising,program discovery
which schools offer retention rates and allow no SAT requirement,parent,attribute_lookup,medium,"retention rates, flexible scheduling, no SAT requirement, college",academic_program_info,attribute lookup
help me compare colleges for job placement by major based on high graduation rates and on-campus childcare,parent,multi_constraint,complex,"job placement by major, high graduation rates, on-campus childcare, college",academic_program_info,multi factor comparison
"as a parent, I am concerned about student debt management and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"student debt management, active student organizations, credit for AP classes, college",financial_aid_advising,family advisory
colleges with emergency financial support opportunities plus strong hands-on learning,parent,attribute_lookup,medium,"emergency financial support, hands-on learning, generous aid packages, college",financial_aid_advising,quick lookup
schools that support campus culture and inclusion students and have early application deadlines,parent,filtered_search,medium,"campus culture and inclusion, low student debt, early application deadlines, college",academic_advising,student support search
best colleges for study abroad safety with robust internships in California,parent,filtered_search,medium,"study abroad safety, robust internships, online course options, college",study_abroad_advising,program discovery
which schools offer parent orientation resources and allow accessible housing,parent,attribute_lookup,medium,"parent orientation resources, inclusive campus culture, accessible housing, college",academic_program_info,attribute lookup
help me compare colleges for overall college affordability based on strong advising and evening classes,parent,multi_constraint,complex,"overall college affordability, strong advising, evening classes, college",financial_aid_advising,multi factor comparison
"as a parent, I am concerned about campus safety programs and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"campus safety programs, small class sizes, transfer scholarships, college",academic_program_info,family advisory
colleges with graduation outcomes opportunities plus strong good transit access,parent,attribute_lookup,short_circuit,"graduation outcomes, good transit access, paid internships, college",campus_services_info,quick lookup
schools that support financial aid transparency students and have no SAT requirement,parent,filtered_search,medium,"financial aid transparency, flexible scheduling, no SAT requirement, college",financial_aid_advising,student support search
best colleges for mental health services with high graduation rates in California,parent,filtered_search,medium,"mental health services, high graduation rates, on-campus childcare, college",college_search,program discovery
which schools offer academic advising quality and allow credit for AP classes,parent,attribute_lookup,medium,"academic advising quality, active student organizations, credit for AP classes, college",academic_program_info,attribute lookup
help me compare colleges for housing security based on hands-on learning and generous aid packages,parent,multi_constraint,complex,"housing security, hands-on learning, generous aid packages, college",housing_advising,multi factor comparison
"as a parent, I am concerned about internship placement support and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"internship placement support, low student debt, early application deadlines, college",academic_advising,family advisory
colleges with class size and faculty access opportunities plus strong robust internships,parent,attribute_lookup,short_circuit,"class size and faculty access, robust internships, online course options, college",campus_services_info,quick lookup
schools that support communication with families students and have accessible housing,parent,filtered_search,medium,"communication with families, inclusive campus culture, accessible housing, college",academic_advising,student support search
best colleges for support for struggling students with strong advising in California,parent,filtered_search,medium,"support for struggling students, strong advising, evening classes, college",college_search,program discovery
which schools offer health services access and allow transfer scholarships,parent,attribute_lookup,medium,"health services access, small class sizes, transfer scholarships, college",academic_program_info,attribute lookup
help me compare colleges for transfer credit clarity based on good transit access and paid internships,parent,multi_constraint,complex,"transfer credit clarity, good transit access, paid internships, college",transfer_advising,multi factor comparison
"as a parent, I am concerned about retention rates and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"retention rates, flexible scheduling, no SAT requirement, college",academic_advising,family advisory
colleges with job placement by major opportunities plus strong high graduation rates,parent,attribute_lookup,short_circuit,"job placement by major, high graduation rates, on-campus childcare, college",academic_program_info,quick lookup
schools that support student debt management students and have credit for AP classes,parent,filtered_search,medium,"student debt management, active student organizations, credit for AP classes, college",financial_aid_advising,student support search
best colleges for emergency financial support with hands-on learning in California,parent,filtered_search,medium,"emergency financial support, hands-on learning, generous aid packages, college",financial_aid_advising,program discovery
which schools offer campus culture and inclusion and allow early application deadlines,parent,attribute_lookup,medium,"campus culture and inclusion, low student debt, early application deadlines, college",academic_program_info,attribute lookup
help me compare colleges for study abroad safety based on robust internships and online course options,parent,multi_constraint,complex,"study abroad safety, robust internships, online course options, college",study_abroad_advising,multi factor comparison
"as a parent, I am concerned about parent orientation resources and student wellbeing, what should we prioritize",parent,emotional_advisory,llm_needed,"parent orientation resources, inclusive campus culture, accessible housing, college",academic_advising,family advisory
colleges with overall college affordability opportunities plus strong strong advising,parent,attribute_lookup,medium,"overall college affordability, strong advising, evening classes, college",financial_aid_advising,quick lookup
